"5c65","<CALL6129>王子さまが お城にいかれてから
食事の したくを していても 何か
物足りないんです。",""
"5cb9","<CALL6129>まあ、王子さま。
どう なさったのですか？
<IF0068><JUMP5d05>こんな所まで 来るなんて。<END>
<LOC5d05>

外には モンスターがいるというのに
わざわざ こんな所まで 来るなんて。",""
"5d4b","<CALL6130>町の者たちには 王子さまは しばらくお城の方で お勉強を していることになっておりますので ご安心ください。",""
"5db6","<CALL6130><IF0068><JUMP5dfe>王子さま、危険なことなどせずに
よい旅を なさってきてください。<END>
<LOC5dfe>王子さま エルアスタは どんなことがあっても 守ってみせます。
安心してください。",""
"5e4d","<C_YELLOW>男<C_NONE>
あ、王子さま いらっしゃい。
<IF0068><JUMP5ea6>しばらく ルディアの お城で
勉強をするそうですね？<END>
<LOC5ea6>モンスターが 出てきたら スライムがいなくなったみたいですね。",""
"5ee3","<C_YELLOW>男<C_NONE>
おや 王子さま。
<IF0068><JUMP5f1e>お城から 遊びにみえたのですか？<END>
<LOC5f1e>ぶっそうに なったものですね
どうして モンスターなんかが ･ ･ ･",""
"5f5c","<C_YELLOW>女<C_NONE>
ま、王子さま。
お久しぶりで ございます。",""
"5f8a","<C_YELLOW>子供<C_NONE>
<IF0068><JUMP5fd8>王子さま、
いつになったら スライムいじめに
連れてってくれるの？ <END>
<LOC5fd8>外には 怖いモンスターがいるから
町から 出ちゃいけないんだって。
あーあ つまんないな。",""
"602e","<C_YELLOW>パーカー<C_NONE>
王子さま、おら もう 抜け穴は
作らねーですだ。",""
"6129","<C_YELLOW>侍女<C_NONE><RET_N>",""
"6130","<C_YELLOW>兵士<C_NONE><RET_N>",""
"5b05","<C_YELLOW>武器屋<C_NONE>
これは、アトラス王子さま。
<IF0068><JUMP5bbd>世界が 平和になって しまったので
武器が ちっとも 売れないんです。

これじゃ 商売にならないから
今度 パン屋でも 始めようかと
思っているんです。<END>
<LOC5bbd>モンスターのせいで あっというまに
武器が 売り切れてしまいました。

こんなに 売れたのは 初めてなので
うれしいような 気がするのですが
どうも すなおに よろこべないんです。",""
"6067","<C_YELLOW>道具屋<C_NONE>
<IF0068><JUMP60bb>これは 王子さま。
こちらの方まで スライムいじめに
いらしたのですか？<END>
<LOC60bb>どうして モンスターなんかが
出てきたのでしょう？

また やつらに おびえながら
くらさなければ ならないとは ･ ･ ･",""
