"5c2d","<X1e>オセ<X04>
わしが このシリカの村の村長じゃ。
昔は わしとゲームをした者にだけ
呪文を教えていたのじゃ。

でも、今は ゲームの 相手をしても
何も 教えてあげないのじゃよ。
わっはっは ･ ･ ･",""
"5cdf","<X1e>セオラ<X04>
おやおや 珍しい。
こんな 老人ばかりの村に
お客さんが お見えになるなんて。",""
"5d32","<X1e>セリム<X04>
ここに打つと あれがこうなるから
あそこに打って、そうしたら
ぶつ ぶつ ･ ･ ･",""
"5d86","<X1e>オレム<X04>
イラ イラ イラ
いつまで 考えとるんじゃ まったく
イラ イラ イラ イラ",""
"5dd3","<X1e>アベル<X04>
ハッハッハ これで どうじゃ？",""
"5df9","<X1e>タバル<X04>
ムムムッ また負けそうじゃ ･ ･ ･
また 地震でも 起こらぬかのお ･ ･ ･",""
"5e45","<X1e>リゾン<X04>
この新しいゲームが できたら きっと話題になることじゃろう。
今から 名前を 考えておくかな。",""
"5ea8","<X1e>ガンク<X04>
ふん なにが ゲームじゃ。
やっぱり おもしろくも 何とも
なかったわい。",""
"5ef6","<X1e>ハンナ<X04>
おじいさんたら 本当は ゲームが
気に入ったらしいのよ。

でも １度やって 負けたものだから
怒ってしまって もう やらないなんて言っているんですよ。
また やってみればいいのに。",""
"5fa9","<X1e>ロデリック<X04>
<IF0015><JUMP613e>おお バカ息子よ。
よかったのう モンスターのせいで
赤スライムが いなくなったぞ。

よいか 呪文というのは なかなか
難しい物でな そう かんたんに
作れやせんのじゃよ。
わかったか？

<Xf52c0001><ASM1ae6><Xf7><CH1>
ああ わかってるよ。
おやじこそ 変身の呪文を 失敗して
変なものを 作るんじゃねえぞ。

<X1e>ロデリック<X04>
ばかに するでない。
わしは お前なんぞより ずっと年季が入っておるのじゃ。

お前のような 失敗などせんわい。<END>
<LOC613e>はて そこの一番でかいの。
お前さん ここに来たことあるか？

<CH3>
シンディ 知らない。

<X1e>ロデリック<X04>
そうか それは よかった。

<CH0>
なにか あるんですか？

<X1e>ロデリック<X04>
いや なんでもない。",""
"61ef","<X1e>オレア<X04>
昔 わしら賢者は ラスタバンという
地から 各地にちらばり 人々に呪文を教えてあげていたのじゃ。

しかし 呪文の書が 売買されるようになってしまって わしらの役目も
なくなってしまってのう。

この辺で ゲームをやりはじめたら
だんだんと 人があつまってきて
村にまで発展したのじゃよ。",""
"6306","<X1e>アルノー<X04>
とうとう 新しい呪文が 完成したわい。ストールとエントと言い 賢さを
変化させることが できるのじゃ。

ロンドの武器屋が 古い武器が売れず
生活ができないと言って 呪文屋を
始めたいと わしの所に来たので
教えてあげたのじゃ。

もし ほしかったら 行ってみるがよい。",""
"640d","<X1e>ディーム<X04>
わしは ヒュールの専門家なのじゃが
ヒュールより効果のある 攻撃呪文を
研究しておるのじゃ。

攻撃力は 何とか ヒュールより
増えたのじゃが 敵全体に 氷の矢を
出せなくて 困っておる。

何か 手がかりになる物でも あれば
いいのじゃが ･ ･ ･",""
"64fb","<X1e>マルク<X04>
わしゃ 呪文が 売られとる町を
教える 案内係のようなものじゃ。

<RET_IL>",""
"6542","どの呪文のことを 知りたいのじゃ？<RETN>",""
"6564","<X08><X0e>か ･ ･ ･
それだったら <RET_IL>",""
"657d","に 行けば
売っておる。

<RET_IL>",""
"6595","<X08>呪文の ある所を 知りたかったら
また来るがいい。",""
